team_id,season,affiliate_league,affiliate,league,team_name,classification,category,location_id,city,state,country,lat,long
2016_NewYork-Pennsylvania_Aberdeen,2017,AL,BAL,New York-Pennsylvania,Aberdeen,A-,MiLB,Aberdeen_MD_US,Aberdeen,MD,US,39.509556,-76.16412
2016_Eastern_Akron,2017,AL,CLE,Eastern,Akron,AA,MiLB,Akron_OH_US,Akron,OH,US,41.083064,-81.518485
2016_PacificCoast_Albuquerque,2017,NL,COL,Pacific Coast,Albuquerque,AAA,MiLB,Albuquerque_NM_US,Albuquerque,NM,US,35.084103,-106.650985
2016_DominicanSummer_WhiteSox,2017,AL,CWS,Dominican Summer,White Sox,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_Arizona_Angels,2017,AL,LAA,Arizona,Angels,Rk,MiLB,AZ_US,,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Angels,2017,AL,LAA,Dominican Summer,Angels,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_Texas_Arkansas,2017,AL,SEA,Texas,Arkansas,AA,MiLB,LittleRock_AR_US,Little Rock,AR,US,34.746481,-92.289595
2016_SouthAtlantic_Asheville,2017,NL,COL,South Atlantic,Asheville,A,MiLB,Asheville_NC_US,Asheville,NC,US,35.60095,-82.554016
2016_DominicanSummer_Tigers,2017,AL,DET,Dominican Summer,Tigers,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_AstrosBlue,2017,AL,HOU,Dominican Summer,Astros Blue,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_AstrosOrange,2017,AL,HOU,Dominican Summer,Astros Orange,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_Twins,2017,AL,MIN,Dominican Summer,Twins,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_Mets1,2017,NL,NYM,Dominican Summer,Mets 1,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_NewYork-Pennsylvania_Auburn,2017,NL,WSH,New York-Pennsylvania,Auburn,A-,MiLB,Auburn_NY_US,Auburn,NY,US,42.93202,-76.567203
2016_DominicanSummer_Mets2,2017,NL,NYM,Dominican Summer,Mets 2,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_Athletics,2017,AL,OAK,Dominican Summer,Athletics,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_PhilliesWhite,2017,NL,PHI,Dominican Summer,Phillies White,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_Pioneer_Billings,2017,NL,CIN,Pioneer,Billings,Rk,MiLB,Billings_MT_US,Billings,MT,US,45.787496,-108.49607
2016_Southern_Biloxi,2017,NL,MIL,Southern,Biloxi,AA,MiLB,Biloxi_MS_US,Biloxi,MS,US,30.374673,-88.845943
2016_DominicanSummer_Pirates,2017,NL,PIT,Dominican Summer,Pirates,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_Southern_Birmingham,2017,AL,CWS,Southern,Birmingham,AA,MiLB,Birmingham_AL_US,Birmingham,AL,US,33.520682,-86.802433
